what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1696984539624
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1696984539625
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1696984539626
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1696984539626
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1696984539626
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1696984539627
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1696984539627
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1696984539627
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1696984539629
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1696984539629
started,bundle,org.eclipse.libra.facet,0.1.2.201202130952,"org.eclipse.libra.facet",1696984539629
started,bundle,org.eclipse.libra.facet.ui,0.1.1.201202130952,"org.eclipse.libra.facet.ui",1696984539630
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1696984539630
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1696984539631
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1696984539632
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1696984539633
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1696984539633
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1696984539633
os,sysinfo,,,"win32",1696984539635
arch,sysinfo,,,"x86_64",1696984539635
ws,sysinfo,,,"win32",1696984539635
locale,sysinfo,,,"zh_CN",1696984539635
processors,sysinfo,,,"4",1696984539635
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1696984539635
java.runtime.version,sysinfo,,,"1.8.0_111-b14",1696984539635
java.specification.name,sysinfo,,,"Java Platform API Specification",1696984539635
java.specification.vendor,sysinfo,,,"Oracle Corporation",1696984539635
java.specification.version,sysinfo,,,"1.8",1696984539635
java.vendor,sysinfo,,,"Oracle Corporation",1696984539635
java.version,sysinfo,,,"1.8.0_111",1696984539635
java.vm.info,sysinfo,,,"mixed mode",1696984539635
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1696984539635
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1696984539635
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1696984539635
java.vm.specification.version,sysinfo,,,"1.8",1696984539635
java.vm.vendor,sysinfo,,,"Oracle Corporation",1696984539635
java.vm.version,sysinfo,,,"25.111-b14",1696984539635
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1696984539638
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1696984540712
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1696984542219
